x	y	Sought Treatment	labels
8.367615	-8.778745	0	3
-11.314926	-3.7869506	1	4
13.7022505	1.7167044	1	6
-0.7494008	16.190434	1	5
3.6420677	-21.417826	1	3
9.865262	-17.218554	0	3
-14.378697	2.9257076	1	7
26.923784	4.6136665	1	6
-6.496316	-11.204804	1	4
8.928333	17.166904	1	2
-2.3588834	-17.396166	1	3
1.4670078	-22.313375	0	3
-0.6972015	-14.950273	1	3
-8.39346	5.477451	1	7
21.321451	2.899723	1	6
13.462138	4.836738	0	6
7.961719	17.40845	1	2
11.808713	-7.315555	0	3
-10.385649	1.5577705	0	7
6.347894	7.3327584	0	0
-7.54378	11.591356	1	7
-15.291806	-19.110695	0	1
14.276958	16.200312	1	2
14.8034935	11.514673	1	2
10.694922	11.772315	1	2
19.674395	4.39524	1	6
-13.282485	-26.156261	1	1
-2.2519407	-17.385433	1	3
-11.105043	-25.111786	0	1
8.2091255	-12.392005	0	3
13.066334	11.248243	0	2
-17.721624	-0.73702705	1	4
5.740078	-9.342966	0	3
9.1732	-6.259012	1	3
-23.341503	1.2658876	0	7
-11.066757	-2.4355586	1	4
-1.306699	-27.765574	1	1
16.56359	15.322075	0	2
8.437005	25.06837	1	2
-4.3965983	5.369415	0	0
-15.267887	4.2513294	1	7
17.757841	8.895446	1	6
-19.297127	1.3316307	0	7
-18.027163	5.8427076	1	7
4.516128	1.9510419	1	0
-14.488693	7.101403	0	7
-12.054477	-17.99055	1	1
-3.2659335	12.370875	0	5
3.470851	1.85873	0	0
2.0858822	6.44037	0	0
-0.074265525	-7.470503	0	3
12.088429	8.0365305	1	6
2.4663625	-6.765897	0	3
-1.0500438	13.958075	1	5
8.422889	26.406343	1	2
-3.8785045	9.277745	0	5
10.71346	-13.458206	1	3
-14.673736	-22.2465	0	1
8.819546	17.308224	0	2
4.6621857	-14.815081	1	3
-1.8840034	-7.777209	0	3
10.184664	-8.320666	0	3
3.9797215	-2.7697656	0	0
-9.258731	11.879714	0	7
-13.924154	-3.548835	1	4
9.832173	-2.323185	0	6
15.760467	23.23754	0	2
-11.533805	-20.18086	0	1
19.36223	-1.1009309	0	6
8.957025	2.068374	0	6
7.187646	3.6787055	1	0
-11.293932	-19.74215	1	1
15.809956	3.68572	1	6
-2.643474	-0.6195106	1	0
8.303731	-11.595064	0	3
23.649874	10.489217	0	6
7.379526	-4.3013244	1	0
-9.3299	4.364906	1	7
-8.049177	18.329632	0	5
-1.7852384	-10.877478	0	3
2.1566355	4.9014244	1	0
8.116817	15.581139	0	2
-12.573348	-25.108238	1	1
7.3666162	-15.193664	0	3
-1.9952141	19.385778	0	5
-10.902795	-27.252949	0	1
0.55437946	6.3278337	1	0
-2.1931968	-23.091894	1	1
-10.713611	-20.69507	1	1
13.148177	-9.226837	0	3
-4.0224276	-9.459209	1	3
-9.716325	-23.674614	0	1
1.7296672	-1.6243232	0	0
7.6954165	-5.241759	1	3
-16.509838	-5.905079	1	4
2.636756	3.3161867	1	0
3.179873	18.474705	1	5
-9.665155	-1.0920542	0	4
-10.680723	-9.778214	0	4
11.784028	23.859064	1	2
24.700245	-6.0294766	1	6
3.855504	-10.563084	0	3
4.986234	14.043764	0	2
-3.0124657	7.1899166	1	0
-2.3802376	22.737114	1	5
3.212102	5.6079965	1	0
-8.432476	-5.089996	1	4
5.2018147	-5.4923573	0	3
-3.7432349	4.9915476	0	0
14.83531	-5.481956	1	6
6.84568	-17.703882	0	3
1.8545501	20.887127	1	5
-16.365164	-4.0834193	1	4
15.4223795	23.608198	1	2
6.3574452	1.0137852	0	0
3.572947	0.45728448	1	0
-12.473603	-28.143454	1	1
-8.350345	8.501255	1	7
-6.160629	16.56823	1	5
-8.81297	-9.606088	1	4
3.4989557	-18.970354	0	3
14.100906	20.186924	0	2
-12.756666	-3.9674218	1	4
-3.3862565	3.0276144	1	0
7.159445	-18.940693	0	3
-8.818702	-21.706364	0	1
-5.9411154	17.188026	1	5
17.546715	13.235822	0	2
-2.0299459	11.20709	0	5
-3.8172364	-9.949653	1	3
-3.5450013	14.393166	1	5
-7.5287476	-21.863169	0	1
-6.109692	-24.408018	1	1
-10.250633	-13.302557	0	4
21.815084	12.870975	0	2
-21.273277	11.7588215	0	7
17.05694	-0.2640044	0	6
-2.5165741	5.4270077	0	0
-12.166141	17.819788	0	5
2.9561877	-3.6472588	0	0
-4.353278	6.772476	1	0
4.034088	15.3431225	0	5
22.148188	-0.5596074	1	6
-9.901039	-22.59196	0	1
-1.0822847	12.467296	1	5
1.5578209	3.6677837	1	0
9.408756	-11.232451	0	3
0.027829815	-15.033606	1	3
1.2406851	-10.16527	0	3
-15.909219	-27.37883	0	1
4.1196914	-12.470724	1	3
10.494588	-7.203961	1	3
6.135762	-2.3981133	1	0
8.803783	-7.4190893	0	3
-0.9649571	-10.149878	1	3
-16.435165	-1.4588168	1	4
-5.5537004	-5.9322376	1	4
2.6805196	0.47853285	1	0
-2.0837	0.98407733	1	0
14.528854	-1.6783645	0	6
-16.476624	6.002639	1	7
11.812946	1.7304757	1	6
8.781883	0.98605835	1	0
-18.103254	-5.819474	1	4
8.340907	21.010221	1	2
-16.181355	1.8916262	1	7
3.3935506	-16.41713	0	3
8.512175	-3.416016	0	0
-15.380172	-7.0981517	1	4
2.4269223	4.969025	1	0
-16.535593	-24.413017	0	1
8.546083	-1.8536385	1	0
-0.26836672	10.293641	1	5
-10.496953	12.92888	1	7
-0.810089	-6.3772044	0	3
10.195344	-4.5390096	0	6
-11.294182	-3.1169813	1	4
-12.068967	8.902819	1	7
8.232385	3.6325586	1	0
20.22035	-3.3593278	0	6
20.224903	-3.2576447	0	6
-11.189671	-23.365616	0	1
-14.966066	-22.846863	0	1
-14.647449	-22.265083	0	1
-14.677133	-25.708319	1	1
-0.43468702	-17.169455	0	3
-12.98015	16.304077	0	7
2.6613138	-3.7949512	0	0
21.3198	5.322576	1	6
5.847153	-11.331151	0	3
-9.693272	8.19427	1	7
11.800032	12.971934	0	2
12.655484	0.8564332	0	6
15.288629	-9.25727	0	3
-7.403638	-25.059183	1	1
-8.151087	-26.534918	1	1
-6.0748153	-10.858849	1	4
12.019786	-12.5847845	0	3
-13.547574	-3.8856018	0	4
5.3709683	22.557112	1	2
-1.0442215	-17.92146	0	3
13.52847	11.46494	0	2
-14.243221	-23.441565	0	1
14.181481	13.463719	1	2
3.6199787	-2.5461943	1	0
16.2041	-4.1731415	0	6
-8.041157	5.670887	1	7
0.62435174	-8.121093	1	3
-15.106761	-11.226243	1	4
17.03966	15.555169	0	2
