x	y	Sought Treatment	labels
14.339795	-22.371807	0	7
-0.19274247	29.016813	1	0
13.702026	-23.572136	1	7
-1.667184	5.395564	1	2
7.9940853	-21.67079	1	7
-6.101517	-20.779625	0	1
-1.7763441	1.2583998	1	2
-1.6656885	5.3942437	1	2
18.627813	-4.9512486	1	3
-15.479387	17.508875	1	6
-9.022307	4.6284876	1	2
14.333949	-23.020033	0	7
-9.662904	25.128174	1	6
2.1663458	20.607508	1	0
-9.203434	1.9247519	1	2
-11.664274	-26.926977	0	1
-16.01056	18.58465	1	6
-5.3276095	21.723946	0	6
-11.678211	-26.949303	0	1
10.867939	-4.6381674	0	3
0.80274844	28.947945	1	0
10.0678425	-21.569803	0	7
19.67724	1.6828053	1	3
-3.3562098	-32.214794	1	1
-9.202514	1.9251052	1	2
-12.551647	14.017114	1	6
-10.964633	13.377786	1	6
-11.195147	-26.96425	1	1
19.428204	-1.5861747	0	3
13.873339	-23.82248	0	7
-4.6032085	-32.48205	0	1
11.454821	14.623082	1	4
-11.41643	-26.818092	0	1
-14.761317	18.76218	1	6
13.273031	1.4700526	0	3
13.822367	3.9234726	1	3
-6.2456346	1.8572433	1	2
14.208413	-23.2513	0	7
-15.770438	19.565392	1	6
13.821521	3.9262478	0	3
-0.7970887	-8.66911	1	5
10.859506	0.7063067	1	3
0.41780686	30.087854	0	0
5.015047	14.310987	1	4
-11.688986	-26.968752	1	1
-3.518786	-12.487675	0	5
-8.167651	22.682743	1	6
-9.655775	25.12856	0	6
5.336436	-1.6794252	0	5
13.821521	3.9262478	0	3
10.859506	0.7063068	0	3
-4.0759997	-33.053066	1	1
-10.54452	-22.576382	0	1
-9.139941	-1.1879551	1	2
-4.906248	21.891853	1	6
-0.044249162	28.92275	0	0
18.592922	-4.952881	1	3
-8.617293	-24.556116	0	1
0.22468512	17.930462	0	4
14.090637	-22.466728	1	7
3.7869627	9.959142	0	4
3.7869627	9.959142	0	4
0.20131043	-9.679457	0	5
-5.6940336	-21.023434	0	1
0.16212462	30.189445	1	0
0.14568177	-26.960821	0	1
11.45025	14.619225	0	4
-8.619127	-24.555897	0	1
14.37961	-23.02788	0	7
10.054922	-19.057661	0	7
18.518797	-5.0943747	1	3
-5.4325643	6.173759	1	2
18.489944	-5.358346	1	3
-5.2595406	21.833155	1	6
-5.219119	-32.53982	0	1
0.14567353	-26.96094	0	1
-3.5174592	-12.485814	1	5
-0.5794547	29.634853	1	0
-0.79794437	-8.6706295	0	5
15.251103	-4.1494603	0	3
-12.748958	4.469355	1	2
15.185678	-22.791437	0	7
11.184302	-4.528228	1	3
-15.162929	19.62374	0	6
-9.466375	-1.1959388	0	2
19.4282	-1.5862393	0	3
-1.7781835	1.2589895	1	2
-9.049878	4.6215787	1	2
-8.624542	-24.55535	1	1
-3.0406911	-31.490427	0	1
-5.3320827	21.709131	1	6
-8.1675	22.684237	0	6
1.6840022	-22.978813	0	1
-16.033566	18.648449	1	6
-1.6671789	5.3956575	1	2
-1.6663133	5.394832	1	2
11.154853	14.474266	1	4
0.006703683	30.066862	0	0
6.511911	-4.151028	0	5
-8.773887	-1.7328461	1	2
4.242181	-0.4407014	1	5
-4.2592287	-31.595371	0	1
-0.23770134	-8.771951	0	5
13.822806	3.931412	1	3
13.821127	3.9251342	1	3
-15.1289835	19.541353	1	6
19.687965	1.6867999	1	3
3.755335	9.76935	0	4
10.054591	-19.056585	0	7
-2.8150811	-31.731705	1	1
-11.166099	-27.076897	0	1
1.1175429	-3.382069	1	5
1.1995053	29.134045	1	0
-0.3400984	3.5677023	1	2
3.9533675	-4.439995	0	5
-1.6630884	5.3942766	1	2
-7.9701786	17.461292	1	6
3.9542236	-4.4395027	1	5
-6.192795	-20.511337	1	1
7.993341	-21.67055	1	7
-10.753955	12.437119	0	6
14.077049	-22.413109	0	7
7.9933395	-21.670546	1	7
10.371178	15.049415	1	4
19.698105	1.7502266	0	3
10.067904	-21.56954	0	7
17.659912	-1.1211032	1	3
13.665108	-23.435848	0	7
2.3286152	-16.932335	0	5
-15.1625395	19.62901	1	6
-0.17418377	-7.9705634	1	5
-0.19029321	-8.804111	0	5
5.483471	-5.5130787	1	5
-0.2434107	-25.539085	0	1
10.053448	-19.056765	0	7
-3.5180163	-12.486674	0	5
10.847765	0.70301545	0	3
13.67197	-22.94028	0	7
3.497454	-17.481598	0	5
-3.3523576	-32.2021	0	1
13.819234	3.9239223	1	3
13.271671	1.4696279	0	3
0.44619706	29.31978	1	0
3.325257	-16.303226	0	5
-5.2231426	5.943063	1	2
-5.5785155	2.7571168	1	2
-10.536995	-22.573256	0	1
-14.834673	19.000702	1	6
10.846899	0.703888	0	3
10.067905	-21.569502	0	7
-2.8468587	-29.704988	1	1
-2.7630093	14.62331	1	6
5.0154862	14.311352	1	4
-3.9365842	-32.482777	0	1
10.860162	0.71409833	1	3
-8.758137	-1.5816543	1	2
10.053714	-19.056538	1	7
13.640755	-23.342855	1	7
-15.561861	18.549847	1	6
-4.95496	21.291723	0	6
-2.460393	-9.474344	1	5
18.4863	-5.3642397	1	3
-9.654799	25.131704	1	6
-0.5789355	29.745533	1	0
3.758634	9.699287	1	4
-8.762608	-1.7549919	1	2
-3.4206033	-32.366535	0	1
4.7368703	-15.088961	0	5
-9.043993	4.615929	1	2
-3.7638981	-32.808113	1	1
3.325257	-16.303226	0	5
-15.696023	17.295034	1	6
-5.81197	-20.076138	1	1
10.6342125	14.538001	1	4
13.639896	-23.167997	0	7
-5.3977075	-20.963408	0	1
11.141342	14.46701	1	4
-8.763819	-1.5758295	1	2
13.83806	-22.653505	1	7
-4.8145375	-33.327835	0	1
-4.0446	-33.040962	0	1
3.169605	-16.144762	0	5
3.1788843	-16.124245	0	5
3.325257	-16.303226	0	5
3.1788843	-16.124245	1	5
20.968096	-1.6393951	0	3
10.752741	14.552084	0	4
-4.460335	-33.15365	0	1
-8.865897	-1.3691584	1	2
17.657034	-1.1361917	0	3
-8.915811	-1.3492812	1	2
-15.647009	18.028154	0	6
-3.3540125	-32.413044	0	1
18.818998	-5.9195504	0	3
-10.55752	2.5459526	1	2
7.1476717	-4.459051	1	5
-15.850097	19.956345	1	6
-2.679293	-32.17593	0	1
-0.33770725	3.5662284	0	2
